time;open;high;low;close;Volume;;;;;
2009-01-09;1886.488;1923.423;1886.488;1918.365;47407216;;;;;
2009-01-12;1911.736;1947.083;1905.6169;1920.687;54234156;;;;;
2009-01-13;1892.655;1908.196;1874.974;1876.1851;49818137;;;;;
2009-01-14;1873.626;1955.244;1873.626;1955.244;59283231;;;;;
2009-01-15;1935.386;1977.191;1930.295;1954.874;78943640;;;;;
2009-01-16;1965.4399;2026.647;1965.4399;1990.214;96538630;;;;;
2009-01-19;2010.579;2052.1899;1993.95;2012.465;81948170;;;;;
2009-01-20;2006.525;2025.1899;1986.061;2025.1899;53259262;;;;;
2009-01-21;1993.67;2047.105;1988.241;2021.71;64117428;;;;;
2009-01-22;2034.286;2048.4839;2012.738;2044.551;58861947;;;;;
2009-01-23;2039.522;2054.3259;2025.188;2032.682;57504109;;;;;
2009-02-02;2052.439;2059.3379;2029.717;2057.063;51453906;;;;;
2009-02-03;2056.7949;2108.9441;2049.8889;2108.9099;87640300;;;;;
2009-02-04;2118.563;2166.4141;2117.0239;2166.4141;100888420;;;;;
2009-02-05;2164.5459;2211.179;2135.6699;2150.9709;115100120;;;;;
2009-02-06;2158.084;2240.021;2158.084;2237.28;106664900;;;;;
2009-02-09;2271.593;2307.907;2257.49;2296.6721;129523670;;;;;
2009-02-10;2288.071;2327.1001;2263.532;2326.7549;116294540;;;;;
2009-02-11;2287.2319;2381.1931;2275.574;2331.1379;147576630;;;;;
2009-02-12;2335.4009;2344.6589;2248.4839;2318.343;119826210;;;;;
2009-02-13;2321.5601;2402.436;2307.0901;2399.0649;140409910;;;;;
2009-02-16;2421.187;2462.3889;2397.1809;2462.2451;152346660;;;;;
2009-02-17;2460.5691;2470.623;2384.7871;2385.293;141014990;;;;;
2009-02-18;2331.6621;2369.053;2272.5049;2275.843;115422060;;;;;
2009-02-19;2295.6531;2324.675;2259.593;2298.4121;90853920;;;;;
2009-02-20;2300.8059;2344.77;2276.2981;2344.3201;86632060;;;;;
2009-02-23;2333.8091;2419.533;2307.9209;2410.481;109465400;;;;;
2009-02-24;2376.697;2411.906;2294.522;2301.8491;127017550;;;;;
2009-02-25;2325.0391;2337.4231;2226.4441;2304.251;107877520;;;;;
2009-02-26;2295.426;2332.3459;2167.1489;2190.1851;102200380;;;;;
2009-02-27;2164.54;2186.8191;2117.061;2140.489;87076410;;;;;
2009-03-02;2123.3669;2177.2939;2112.3359;2164.666;62746181;;;;;
2009-03-03;2109.8411;2168.2219;2100.644;2142.1541;66167314;;;;;
2009-03-04;2150.239;2290.9399;2150.239;2285.1489;110750030;;;;;
2009-03-05;2314.0791;2340.3711;2259.8;2304.9189;131987340;;;;;
2009-03-06;2260.7561;2313.2;2255.8181;2286.5759;85965450;;;;;
2009-03-09;2302.011;2333.98;2198.5449;2202.5271;86555940;;;;;
2009-03-10;2175.3059;2241.238;2168.324;2240.782;56660449;;;;;
2009-03-11;2288.053;2292.396;2212.8821;2220.3799;70838670;;;;;
2009-03-12;2208.041;2220.303;2156.5979;2215.7;55700111;;;;;
2009-03-13;2229.25;2250.239;2200.9741;2205.4221;54083094;;;;;
